iter	RMSE
0	1.803556784
1	1.798569738
2	1.793726859
3	1.788768967
4	1.784310768
5	1.77938067
6	1.775844823
7	1.77109376
8	1.76635807
9	1.761481133
10	1.757304605
11	1.75245465
12	1.748009545
13	1.743847225
14	1.73978096
15	1.734982937
16	1.73061704
17	1.725846248
18	1.721089752
19	1.716347512
20	1.711806936
21	1.707092467
22	1.702621118
23	1.697935422
24	1.69339967
25	1.688903053
26	1.684256832
27	1.680362757
28	1.675742096
29	1.671136691
30	1.666723298
31	1.662144934
32	1.657726087
33	1.654099356
34	1.64972271
35	1.645193761
36	1.64111178
37	1.636747598
38	1.632418218
39	1.627940812
40	1.623476885
41	1.6190264
42	1.614865201
43	1.610440328
44	1.606334568
45	1.601934972
46	1.59772011
47	1.593515642
48	1.589154674
49	1.585082659
50	1.581299704
51	1.576975078
52	1.572827567
53	1.568932751
54	1.565090769
55	1.560814618
56	1.556625391
57	1.55251741
58	1.548279011
59	1.544362059
60	1.540148229
61	1.535947848
62	1.532318136
63	1.528299043
64	1.524133376
65	1.519980322
66	1.515839845
67	1.511826703
68	1.507854642
69	1.503751054
70	1.499659881
71	1.495847448
72	1.492146385
73	1.488702822
74	1.484656285
75	1.48118946
76	1.477326541
77	1.473474857
78	1.469631688
79	1.465642048
80	1.461795683
81	1.4578297
82	1.453875775
83	1.450090226
84	1.446731847
85	1.442896529
86	1.43898739
87	1.435549878
88	1.431663076
89	1.428504272
90	1.424638263
91	1.421029348
92	1.4171859
93	1.413450324
94	1.409629895
95	1.406385882
96	1.403061189
97	1.399388892
98	1.395716201
99	1.39225822
100	1.388629715
101	1.385545258
102	1.381976308
103	1.37824967
104	1.374534362
105	1.371071464
106	1.367509027
107	1.363908883
108	1.36023708
109	1.356576518
110	1.352927164
111	1.349361796
112	1.346045472
113	1.342643795
114	1.339036225
115	1.335972948
116	1.332732649
117	1.329154867
118	1.326330269
119	1.322771534
120	1.319223725
121	1.315686812
122	1.312160504
123	1.308645272
124	1.305661029
125	1.30230178
126	1.298929008
127	1.295453916
128	1.29198952
129	1.288535792
130	1.28522707
131	1.281996948
132	1.278573353
133	1.27516071
134	1.271827127
135	1.268435083
136	1.26535569
137	1.262436071
138	1.259163313
139	1.256708505
140	1.253361626
141	1.25002509
142	1.24669827
143	1.243382312
144	1.240076612
145	1.236978978
146	1.233692813
147	1.230721689
148	1.227548297
149	1.224291056
150	1.221422353
151	1.219078834
152	1.216136093
153	1.213005547
154	1.21047001
155	1.207536922
156	1.204462526
157	1.201345778
158	1.198167549
159	1.195404096
160	1.192724334
161	1.18974843
162	1.187006665
163	1.183871467
164	1.180746025
165	1.177822029
166	1.174811145
167	1.171836452
168	1.16949778
169	1.166492988
170	1.163493607
171	1.160509121
172	1.15745489
173	1.154410193
174	1.151375005
175	1.148349299
176	1.145430093
177	1.142421723
178	1.139423846
179	1.136435349
180	1.133526815
181	1.130740514
182	1.12784191
183	1.125183003
184	1.122704212
185	1.119767023
186	1.1168378
187	1.113918993
188	1.111247795
189	1.108346104
190	1.106102288
191	1.103354634
192	1.100476741
193	1.097684629
194	1.094876127
195	1.092024461
196	1.089180411
197	1.086857542
198	1.084442913
199	1.081685856
200	1.078934871
201	1.076189038
202	1.074101134
203	1.071400125
204	1.068931005
205	1.066460135
206	1.063775555
207	1.061017953
208	1.058269069
209	1.055718766
210	1.053514804
211	1.050789127
212	1.04821299
213	1.045597701
214	1.042954303
215	1.040261399
216	1.037754598
217	1.03507812
218	1.032410138
219	1.029990592
220	1.027384034
221	1.025072424
222	1.022433403
223	1.01980446
224	1.017183884
225	1.014630448
226	1.012157103
227	1.009610552
228	1.007228809
229	1.004719716
230	1.002655245
231	1.000180081
232	0.9978450426
233	0.9956220114
234	0.9930756554
235	0.9905374375
236	0.9880073357
237	0.9857287209
238	0.9833090585
239	0.9808014767
240	0.9785583793
241	0.9763978868
242	0.9739874391
243	0.9715088917
244	0.9691138406
245	0.9668477097
246	0.9649285595
247	0.9625216428
248	0.9602957059
249	0.958022694
250	0.9555939262
251	0.9534294251
252	0.9510580968
253	0.9486905642
254	0.9463336151
255	0.9439753627
256	0.9416739812
257	0.939293592
258	0.9369229806
259	0.9345600256
260	0.932202552
261	0.929892976
262	0.9277592009
263	0.9256714429
264	0.9233438902
265	0.921140698
266	0.918827264
267	0.9166569766
268	0.9143951368
269	0.9121357366
270	0.9099399132
271	0.9082377915
272	0.9060537856
273	0.9038578043
274	0.9015992937
275	0.8993481342
276	0.897185638
277	0.894981171
278	0.8927506809
279	0.8908270699
280	0.8886962626
281	0.8868501934
282	0.8847178695
283	0.8827136771
284	0.8806502167
285	0.8784935944
286	0.8765525577
287	0.8745031226
288	0.8723967789
289	0.8702969773
290	0.8683203092
291	0.8664300732
292	0.8647199413
293	0.8626137644
294	0.8604833346
295	0.8584603988
296	0.8563430269
297	0.8542632442
298	0.8521963907
299	0.850337543
300	0.8482824637
301	0.84619723
302	0.8441860423
303	0.8421139029
304	0.8401952017
305	0.8381356165
306	0.8361731857
307	0.834126545
308	0.8326952599
309	0.8306595512
310	0.8287825447
311	0.8268709868
312	0.8248754615
313	0.8228647135
314	0.8208606329
315	0.8189516369
316	0.8171243087
317	0.8153160224
318	0.8136368619
319	0.8117358231
320	0.8097677709
321	0.8078602654
322	0.8064594866
323	0.8045926301
324	0.8027323826
325	0.8008362774
326	0.7992156089
327	0.7973810883
328	0.7956796441
329	0.7939941073
330	0.7920810448
331	0.7901743799
332	0.7882740956
333	0.7864078749
334	0.7845371854
335	0.782712766
336	0.7808564264
337	0.7794018793
338	0.7779558535
339	0.7761423272
340	0.7746937176
341	0.7728420541
342	0.7710738344
343	0.7696071873
344	0.7678519335
345	0.7661306761
346	0.764360149
347	0.7625555347
348	0.7607642162
349	0.7590763653
350	0.7572744386
351	0.7555658585
352	0.7537753904
353	0.7521283013
354	0.7503486404
355	0.7488853615
356	0.7471258418
357	0.7453623522
358	0.7436139358
359	0.7418619875
360	0.7401159916
361	0.7386421061
362	0.7369608272
363	0.7353011959
364	0.7335760651
365	0.7318667931
366	0.7302889081
367	0.7287745825
368	0.7271462637
369	0.7254468779
370	0.723762527
371	0.7220743557
372	0.7205859871
373	0.7189170443
374	0.7174452906
375	0.7158444092
376	0.7142017616
377	0.7126819013
378	0.7110639212
379	0.7094960629
380	0.7078923968
381	0.7062553122
382	0.7046337829
383	0.703066164
384	0.7014450635
385	0.699950654
386	0.6983451681
387	0.6967629748
388	0.6951623678
389	0.693732972
390	0.6921423075
391	0.6905571478
392	0.6889924311
393	0.6874974991
394	0.6859403358
395	0.6843868395
396	0.6828483
397	0.6812938878
398	0.679917159
399	0.6783769844
400	0.6768373566
401	0.6754426539
402	0.6740747311
403	0.6725917404
404	0.6711643916
405	0.6696480901
406	0.6681370871
407	0.6668861833
408	0.6653840536
