iter	Passed	Remaining
0	0	442
1	1	513
2	1	449
3	1	403
4	2	405
5	2	383
6	2	417
7	3	404
8	3	394
9	3	382
10	4	383
11	4	374
12	4	377
13	5	378
14	5	382
15	6	374
16	6	372
17	6	365
18	6	359
19	7	354
20	7	354
21	7	350
22	8	353
23	8	350
24	8	348
25	9	346
26	9	342
27	9	343
28	10	340
29	10	338
30	10	337
31	11	336
32	11	336
33	12	341
34	12	340
35	12	337
36	13	339
37	13	337
38	13	337
39	13	335
40	14	333
41	14	331
42	14	332
43	15	330
44	15	330
45	15	328
46	16	328
47	16	327
48	16	325
49	17	326
50	17	332
51	18	331
52	18	330
53	18	330
54	19	330
55	19	328
56	19	328
57	20	327
58	20	326
59	20	326
60	21	325
61	21	324
62	26	389
63	26	388
64	26	386
65	27	383
66	27	381
67	27	379
68	28	378
69	28	376
70	28	374
71	29	374
72	29	373
73	29	373
74	30	371
75	30	372
76	31	371
77	31	370
78	31	369
79	31	367
80	32	366
81	32	364
82	32	362
83	33	361
84	33	362
85	34	361
86	34	359
87	34	360
88	35	359
89	35	360
90	35	359
91	36	358
92	36	357
93	36	355
94	37	354
95	37	354
96	38	356
97	38	355
98	38	353
99	39	352
100	39	351
101	39	352
102	40	351
103	40	350
104	40	349
105	41	348
106	41	347
107	41	346
108	42	344
109	42	343
110	42	343
111	43	342
112	43	342
113	43	341
114	44	340
115	44	341
116	45	340
117	45	339
118	45	340
119	46	338
120	46	337
121	46	336
122	47	335
123	47	334
124	47	334
125	48	333
126	48	332
127	48	331
128	48	330
129	49	329
130	49	328
131	49	327
132	50	327
133	50	325
134	50	325
135	50	323
136	51	323
137	51	323
138	52	323
139	52	324
140	53	323
141	53	322
142	53	321
143	53	320
144	54	319
145	54	319
146	54	318
147	55	317
148	55	317
149	55	316
150	56	317
151	56	317
152	57	317
153	57	316
154	58	318
155	58	317
156	59	317
157	59	316
158	59	315
159	60	315
160	60	315
161	60	315
162	61	314
163	61	313
164	61	312
165	62	312
166	62	311
167	62	311
168	63	311
169	63	311
170	64	310
171	64	310
172	64	309
173	64	308
174	65	307
175	65	306
176	65	306
177	66	305
178	66	304
179	66	303
180	66	303
181	67	302
182	67	302
183	68	301
184	68	301
185	68	300
186	69	300
187	69	299
188	69	298
189	69	298
190	70	298
191	70	298
192	71	297
193	71	297
194	71	296
195	72	295
196	72	294
197	72	295
198	73	295
199	73	294
200	74	294
201	74	293
202	74	294
203	75	293
204	75	293
205	76	293
206	76	293
207	76	292
208	77	291
209	77	291
210	78	291
211	78	291
212	78	290
213	78	290
214	79	289
215	79	288
216	79	288
217	80	287
218	80	286
219	80	286
220	81	286
221	81	285
222	81	285
223	82	284
224	82	283
225	82	283
226	83	282
227	83	282
228	83	281
229	84	281
230	84	281
231	84	281
232	85	280
233	85	280
234	86	279
235	86	279
236	86	278
237	86	278
238	87	277
239	87	277
240	87	276
241	88	277
242	88	276
243	89	275
244	89	275
245	89	274
246	90	275
247	90	274
248	90	274
249	91	274
250	91	273
251	92	273
252	92	272
253	92	272
254	93	273
255	93	272
256	94	273
257	94	272
258	95	272
259	95	271
260	95	271
261	96	270
262	96	270
263	96	269
264	97	269
265	97	268
266	97	268
267	98	267
268	98	267
269	98	266
270	99	266
271	99	266
272	99	266
273	100	265
274	100	265
275	100	264
276	101	264
277	101	263
278	101	263
279	102	263
280	102	262
281	103	262
282	103	262
283	103	261
284	104	261
285	104	261
286	105	260
287	105	260
288	105	260
289	105	259
290	106	259
291	106	258
292	107	259
293	107	258
294	107	258
295	108	257
296	108	257
297	108	256
298	109	256
299	109	256
300	110	255
301	110	254
302	110	254
303	110	253
304	111	253
305	111	253
306	112	252
307	112	252
308	112	252
309	113	251
310	113	251
311	113	251
312	114	250
313	114	250
314	114	249
315	115	249
316	115	248
317	115	248
318	116	248
319	116	247
320	116	247
321	117	246
322	117	247
323	118	246
324	118	246
325	118	245
326	119	245
327	119	245
328	120	244
329	120	244
330	120	243
331	120	243
332	121	242
333	121	242
334	121	242
335	122	241
336	122	241
337	123	241
338	123	241
339	124	240
340	124	240
341	124	240
342	125	240
343	125	240
344	126	239
345	126	239
346	126	238
347	127	238
348	127	238
349	128	237
350	128	237
351	128	236
352	128	236
353	129	235
354	129	235
355	130	235
356	130	235
357	130	234
358	131	234
359	131	233
360	131	232
361	132	232
362	132	232
363	132	232
364	133	231
365	133	231
